[3, 0.0, 1.0, 0.10077519379844961]
[10, 0.021963824289405683, 0.7103174603174603, 0.23126614987080105]
[16, 0.04780361757105943, 0.7560386473429952, 0.4043927648578811]
[20, 0.06201550387596899, 0.732824427480916, 0.49612403100775193]
[23, 0.07493540051679587, 0.7578253706754531, 0.5943152454780362]
[25, 0.082687338501292, 0.7794561933534743, 0.6666666666666666]
[26, 0.08527131782945736, 0.7756598240469208, 0.6834625322997416]
[27, 0.09819121447028424, 0.7794943820224719, 0.7170542635658915]
[29, 0.10981912144702842, 0.7735099337748345, 0.7545219638242894]
[29, 0.15891472868217055, 0.8741721854304636, 0.8527131782945736]
